composite_period,NDVI_mean,NBR_mean,NDMI_mean,NDVI_std,NBR_std,NDMI_std,NDVI_p50,NBR_p50,NDMI_p50,valid_fraction,date,n_images,year,month,day_of_year
2020-03-31,0.610183835029602,0.3857469658056895,0.162201056877772,0.17046400407950082,0.2114915500084559,0.19793821374575296,0.6322263777256012,0.37762753665447235,0.1366235539317131,0.5469545504206271,2020-04-05,3,2020,4,96
2020-04-10,0.3851308152079582,0.36174526065588,0.20414531975984573,0.23834379389882088,0.18085112050175667,0.1695420891046524,0.3501216322183609,0.39090119302272797,0.19221174344420433,0.5261332350049165,2020-04-10,4,2020,4,101
2020-04-20,0.5654412060976028,0.4078001727660497,0.19785907616217932,0.18773047626018524,0.1709290991226832,0.14305898422996202,0.6553554385900497,0.43738389760255814,0.2077782116830349,0.5476325612731708,2020-04-20,6,2020,4,111
2020-04-30,0.5702116290728251,0.4494105279445648,0.24482217927773794,0.1672751804192861,0.15163521965344748,0.12544430047273636,0.7268133759498596,0.530188113451004,0.2739378958940506,0.5480135838887068,2020-05-05,3,2020,5,126
2020-05-10,0.731181412935257,0.5332673788070679,0.28099386394023895,0.12807341292500496,0.1459854394197464,0.13081292062997818,0.7573818862438202,0.5684786736965179,0.3047754317522049,0.5903370479624167,2020-05-18,2,2020,5,139
2020-05-30,0.5931670963764191,0.47104305028915405,0.26095156371593475,0.27150295674800873,0.2004053071141243,0.14180286973714828,0.7066231667995453,0.5384497791528702,0.28616102039813995,0.5903392330383481,2020-06-02,2,2020,6,154
2020-06-09,0.7895553112030029,0.5731349587440491,0.31780560314655304,0.13365843892097473,0.14178018271923065,0.11939417943358421,0.8246021270751953,0.6090688556432724,0.33869078010320663,0.5903362285589424,2020-06-12,2,2020,6,164
2020-06-19,0.655278891324997,0.5104807615280151,0.27570201456546783,0.23065660148859024,0.18588251620531082,0.13459055125713348,0.7526573538780212,0.5780141651630402,0.30554166436195374,0.5903392330383481,2020-06-27,2,2020,6,179
2020-06-29,0.32922452688217163,0.3227076530456543,0.1911773681640625,0.2681652307510376,0.1909083127975464,0.12176453322172165,0.26974180340766907,0.26124444603919983,0.15565699338912964,0.4618480279689719,2020-07-04,1,2020,7,186
2020-07-09,0.39344801008701324,0.3941969722509384,0.24295148253440857,0.23774708062410355,0.17609580606222153,0.12064279615879059,0.3606220558285713,0.39148522168397903,0.24207856506109238,0.4632401944717579,2020-07-12,2,2020,7,194
2020-07-19,0.5990430474281311,0.5059452593326569,0.28755266666412355,0.26561400294303894,0.18507169783115388,0.13113313913345337,0.7893783450126648,0.5927684009075165,0.3205425441265106,0.5642020102698568,2020-07-19,5,2020,7,201
2020-07-29,0.7809471607208252,0.5686116576194763,0.29992966651916503,0.11859987378120422,0.13039868772029878,0.11439424604177476,0.8273226022720337,0.6091099977493286,0.3208715617656708,0.5644532940019665,2020-07-29,5,2020,7,211
2020-08-08,0.556574543317159,0.510499119758606,0.29877956708272296,0.23468875139951706,0.16969786832729974,0.14176099126537642,0.7403678894042969,0.5667372941970825,0.31434352695941925,0.5477289777486435,2020-08-08,6,2020,8,221
2020-08-18,0.7284555733203888,0.5325686037540436,0.280394546687603,0.19292830489575863,0.1743864044547081,0.13373766094446182,0.8090657889842987,0.589733213186264,0.3059748411178589,0.5903374576641538,2020-08-21,4,2020,8,234
2020-08-28,0.5200550705194473,0.4100882411003113,0.2432958483695984,0.22866469621658325,0.1716974750161171,0.10568294301629066,0.5285485088825226,0.4300461634993553,0.2525171786546707,0.46364416038457335,2020-08-28,2,2020,8,241
2020-09-07,0.6139980331063271,0.47825099527835846,0.25220806896686554,0.19204110093414783,0.175632044672966,0.13149339891970158,0.7173241227865219,0.5621662586927414,0.2760418690741062,0.5265462143559488,2020-09-07,4,2020,9,251
2020-09-17,0.7896315455436707,0.5643248558044434,0.29230010509490967,0.10665985196828842,0.14969830960035324,0.13360580801963806,0.8199056535959244,0.6029294729232788,0.31334106624126434,0.5903356822899596,2020-09-20,2,2020,9,264
2020-09-27,0.46355389058589935,0.39675018191337585,0.22482960671186447,0.2027265876531601,0.16864490881562233,0.1191042847931385,0.4399670958518982,0.3788212612271309,0.2116996794939041,0.4638102261553589,2020-09-30,2,2020,9,274
2020-10-17,0.5939204096794128,0.49551063776016235,0.2682037949562073,0.25104910135269165,0.20653963088989258,0.16130609810352325,0.6843682527542114,0.5427225232124329,0.26801878213882446,0.7160663170545176,2020-10-25,1,2020,10,299
2021-04-21,0.5353029295802116,0.3732812628149986,0.16883628442883492,0.19782217219471931,0.17528770491480827,0.15533586777746677,0.579246774315834,0.38487138599157333,0.16287647187709808,0.5383016497323282,2021-04-23,4,2021,4,113
2021-05-01,0.6045520305633545,0.4180917739868164,0.19687211513519287,0.16927147656679153,0.1580178290605545,0.13524337112903595,0.6384671628475189,0.43351051211357117,0.19960595667362213,0.5889287665246368,2021-05-08,2,2021,5,128
2021-05-11,0.4202263057231903,0.4415420591831207,0.2806401252746582,0.3138573467731476,0.182412251830101,0.14406894147396088,0.48767293989658356,0.46198783814907074,0.2754020094871521,0.46213700426089804,2021-05-20,1,2021,5,140
2021-05-31,0.5454060932000478,0.5136549770832062,0.32702775796254474,0.21401704351107279,0.13796017815669379,0.110231414437294,0.5807311832904816,0.5451725721359253,0.3257370591163635,0.4643040533158527,2021-06-02,3,2021,6,153
2021-06-10,0.7134931882222494,0.5519953568776449,0.3109145263830821,0.20555263261000314,0.17313419779141745,0.13632618387540182,0.8244017064571381,0.6205964088439941,0.3462406098842621,0.5471546669580101,2021-06-17,3,2021,6,168
