date,year,month,day_of_year,filename,valid_fraction,valid_pixels,total_pixels,NDVI_mean,NBR_mean,NDMI_mean,NDVI_std,NBR_std,NDMI_std,NDVI_p10,NDVI_p50,NDVI_p90,NBR_p10,NBR_p50,NBR_p90,NDMI_p10,NDMI_p50,NDMI_p90
2020-04-05,2020,4,96,sumava_2020-04-05 (2).tif,0.4601911941439965,842426,1830600,0.5951048135757446,0.37409108877182007,0.15359371900558472,0.1679774671792984,0.21616168320178986,0.20185737311840057,0.3744601607322693,0.6105405986309052,0.7947390973567963,0.09805076196789742,0.3692993074655533,0.6528337299823761,-0.09400714933872223,0.13239998370409012,0.41914841532707214
2020-04-08,2020,4,99,sumava_2020-04-08.tif,0.7160717797443461,1310841,1830600,0.6203508973121643,0.4001702070236206,0.1751910150051117,0.17729924619197845,0.2063167840242386,0.19546526670455933,0.3723214864730835,0.6522851586341858,0.817173421382904,0.1261250227689743,0.4068949818611145,0.6542717814445496,-0.06646421104669571,0.16200004518032074,0.41452907919883736
2020-04-08,2020,4,99,sumava_2020-04-08 (2).tif,0.4646006773735387,850498,1830600,0.6150957942008972,0.3829796016216278,0.15781843662261963,0.16611529886722565,0.2119961827993393,0.196492001414299,0.3935812830924988,0.6322263777256012,0.8114894211292267,0.11150168925523758,0.37762753665447235,0.6615270674228669,-0.0854977086186409,0.1366235539317131,0.42347651720046997
2020-04-10,2020,4,101,sumava_2020-04-10 (2).tif,0.4619540041516443,845653,1830600,0.3461829423904419,0.2755391001701355,0.11969161033630371,0.2572304308414459,0.17785689234733582,0.14034491777420044,0.012585309892892839,0.39357444643974304,0.6759811878204346,0.08169110715389255,0.2439781278371811,0.5444821715354919,-0.04209235683083533,0.10263559222221375,0.3147163212299348
2020-04-13,2020,4,104,sumava_2020-04-13 (2).tif,0.7160712334753633,1310840,1830600,0.31224343180656433,0.3803822994232178,0.24194984138011932,0.27345529198646545,0.1888894885778427,0.17407628893852234,-0.0060028703417629005,0.30666881799697876,0.6775556325912475,0.13438621163368225,0.38817110657691956,0.6141286969184875,0.02738000769168138,0.23345289379358292,0.4734663397073746
2020-04-13,2020,4,104,sumava_2020-04-13 (1).tif,0.4646017699115044,850500,1830600,0.25865012407302856,0.4019784927368164,0.2968561053276062,0.2749480903148651,0.17653097212314606,0.19728468358516693,-0.01776356138288975,0.1450910046696663,0.6657769978046417,0.1675081789493561,0.41126126050949097,0.6218923807144165,0.04188951700925829,0.29051685333251953,0.564924669265747
2020-04-15,2020,4,106,sumava_2020-04-15.tif,0.46190593248115375,845565,1830600,0.6234467625617981,0.3890811502933502,0.1580837219953537,0.14774136245250702,0.1801271289587021,0.1664624661207199,0.42366494536399846,0.6429346203804016,0.7944054245948792,0.1505564093589783,0.3936312794685364,0.6196153998374939,-0.056697956472635265,0.15097059309482574,0.37926586866378786
2020-04-20,2020,4,111,sumava_2020-04-20 (1).tif,0.4615104337375724,844841,1830600,0.6557130217552185,0.4280342757701874,0.20300766825675964,0.1353074014186859,0.1749865710735321,0.15903620421886444,0.4740661680698395,0.6823827624320984,0.7988868355751038,0.19355936348438263,0.44253915548324585,0.6396092176437378,-0.006726544350385666,0.20429372787475586,0.4067173898220062
2020-04-23,2020,4,114,sumava_2020-04-23 (3).tif,0.4646017699115044,850500,1830600,0.6582473516464233,0.42348191142082214,0.18898004293441772,0.13606573641300201,0.18065834045410156,0.15999266505241394,0.4762335062026978,0.6862001419067383,0.800089281797409,0.18235041797161106,0.43875834345817566,0.6426056683063507,-0.022220596112310885,0.1895882561802864,0.39522145688533783
2020-04-23,2020,4,114,sumava_2020-04-23 (2).tif,0.716075603627226,1310848,1830600,0.6708836555480957,0.4348301589488983,0.20063669979572296,0.14861725270748138,0.1813155561685562,0.15411406755447388,0.45505819022655486,0.7140281796455383,0.8171825826168061,0.1717134416103363,0.4706966131925583,0.6369824409484863,-0.019652728177607052,0.2196974903345108,0.3836584985256195
2020-04-25,2020,4,116,sumava_2020-04-25 (1).tif,0.46292909428602647,847438,1830600,0.607158362865448,0.42714202404022217,0.2039550244808197,0.1621887981891632,0.15413926541805267,0.13824577629566193,0.39464855194091797,0.6283281147480011,0.792656433582306,0.21898220479488376,0.4360094517469406,0.6159419417381287,0.016689291410148147,0.21311721950769424,0.372711306810379
2020-04-28,2020,4,119,sumava_2020-04-28.tif,0.7160766961651918,1310850,1830600,0.494797021150589,0.39486464858055115,0.19952057301998138,0.2797030806541443,0.1800600290298462,0.13504083454608917,0.018889252468943594,0.5801869630813599,0.7954003810882568,0.14486853182315826,0.4172922521829605,0.6101238965988159,0.018494605273008342,0.21126269549131393,0.36261315345764167
2020-04-28,2020,4,119,sumava_2020-04-28 (2).tif,0.4646017699115044,850500,1830600,0.30584782361984253,0.33844801783561707,0.19105444848537445,0.26450058817863464,0.1544148325920105,0.11192435771226883,-0.0008157031028531482,0.2933260351419449,0.6674875140190124,0.14692056626081468,0.3287006914615631,0.5503566861152649,0.05296325348317623,0.18821682035923004,0.3347300738096237
2020-05-05,2020,5,126,sumava_2020-05-05.tif,0.4633633781273899,848233,1830600,0.3162810206413269,0.35361433029174805,0.22620363533496857,0.2232096940279007,0.15252035856246948,0.10709630697965622,0.060803109407424935,0.25945138931274414,0.6548681735992432,0.1642214298248291,0.33445292711257935,0.5776039719581604,0.08968973457813263,0.2223319560289383,0.3687137484550477
